SubjTrial,SubjectID,ExpNum,ItemNum,PremiseNum,Response,MiddleTerm1,MiddleTerm2,relationtype,TrialType,Syllogism,ListNum,OrderNum,premise1,premise2,conclusion,digitMatch,RT,SyllogismSimple,ExpectedResponse,ResponseWasCorrect,excl.subj,excl.trial
1_36,1,N6-p-M3,36,answer-P2,1,swords,swords,*,Valid Filler,Disamis,1,1,Some swords are decorative,All swords are weapons ,Some weapons are decorative ,NA,12106,Disamis,1,1,0,0
1_37,1,N6-p-M3,37,answer-P1,1,cloak,dagger,script,Related,Disamis,1,1,Some cloaks are velvet,All daggers are knives,Some knives are velvet,NA,22172,Disamis,0,0,0,0
1_37,1,N6-p-M3,37,answer-P2,0,cloak,dagger,script,Related,Disamis,1,1,Some cloaks are velvet,All daggers are knives,Some knives are velvet,NA,22172,Disamis,0,1,0,0
1_38,1,N6-p-M3,38,answer-P1,0,statues,statues,*,Valid Filler,Datisi,1,1,All statues are sculptures,Some statues are bronzes,Some bronzes are sculptures,NA,13915,Datisi,1,0,0,0
1_38,1,N6-p-M3,38,answer-P2,1,statues,statues,*,Valid Filler,Datisi,1,1,All statues are sculptures,Some statues are bronzes,Some bronzes are sculptures,NA,13915,Datisi,1,1,0,0
1_39,1,N6-p-M3,39,answer-P1,1,dances,dances,*,Invalid Filler,Darii*,1,1,All ballets are dances ,Some mating rituals are dances ,Some mating rituals are ballets,NA,29052,Darii,0,0,0,0
1_39,1,N6-p-M3,39,answer-P2,1,dances,dances,*,Invalid Filler,Darii*,1,1,All ballets are dances ,Some mating rituals are dances ,Some mating rituals are ballets,NA,29052,Darii,0,0,0,0
1_40,1,N6-p-M3,40,answer-P1,1,stones,stones,*,Invalid Filler,Datisi*,1,1,All pebbles are stones,Some stones are boulders,Some boulders are pebbles,NA,34360,Datisi,0,0,0,0
1_40,1,N6-p-M3,40,answer-P2,1,stones,stones,*,Invalid Filler,Datisi*,1,1,All pebbles are stones,Some stones are boulders,Some boulders are pebbles,NA,34360,Datisi,0,0,0,0
1_41,1,N6-p-M3,41,answer-P1,0,mammal,weekend,*,Unrelated,Datisi,1,1,All mammals are warm blooded,Some weekends are holidays,Some holidays are warm blooded,NA,23414,Datisi,0,1,0,0
1_41,1,N6-p-M3,41,answer-P2,1,mammal,weekend,*,Unrelated,Datisi,1,1,All mammals are warm blooded,Some weekends are holidays,Some holidays are warm blooded,NA,23414,Datisi,0,0,0,0
1_42,1,N6-p-M3,42,answer-P1,1,surgery,hall,*,Unrelated,Dimatis,1,1,Some medical procedures are surgeries,All halls are passageways,Some passageways are medical procedures,NA,20362,Dimatis,0,0,0,0
1_42,1,N6-p-M3,42,answer-P2,0,surgery,hall,*,Unrelated,Dimatis,1,1,Some medical procedures are surgeries,All halls are passageways,Some passageways are medical procedures,NA,20362,Dimatis,0,1,0,0
1_43,1,N6-p-M3,43,answer-P1,1,spices,spices,*,Invalid Filler,Dimatis*,1,1,Some dried roots are spices ,All mustard seeds are spices ,Some mustard seeds are dried roots,NA,20838,Dimatis,0,0,0,0
1_43,1,N6-p-M3,43,answer-P2,0,spices,spices,*,Invalid Filler,Dimatis*,1,1,Some dried roots are spices ,All mustard seeds are spices ,Some mustard seeds are dried roots,NA,20838,Dimatis,0,1,0,0
1_44,1,N6-p-M3,44,answer-P1,1,mugs,mugs,*,Valid Filler,Datisi,1,1,All mugs are cups ,Some mugs are ceramics,Some ceramics are cups ,NA,21588,Datisi,1,1,0,0
1_44,1,N6-p-M3,44,answer-P2,1,mugs,mugs,*,Valid Filler,Datisi,1,1,All mugs are cups ,Some mugs are ceramics,Some ceramics are cups ,NA,21588,Datisi,1,1,0,0
1_45,1,N6-p-M3,45,answer-P1,1,peppers,peppers,*,Invalid Filler,Dimatis*,1,1,Some yellow vegetables are peppers ,All jalapenos are peppers,Some jalapenos are yellow vegetables,NA,40916,Dimatis,0,0,0,0
1_45,1,N6-p-M3,45,answer-P2,1,peppers,peppers,*,Invalid Filler,Dimatis*,1,1,Some yellow vegetables are peppers ,All jalapenos are peppers,Some jalapenos are yellow vegetables,NA,40916,Dimatis,0,0,0,0
1_46,1,N6-p-M3,46,answer-P1,1,sausages,sausages,*,Invalid Filler,Datisi*,1,1,All chili dogs are sausages,Some sausages are salamis,Some salamis are chili dogs,NA,17903,Datisi,0,0,0,0
1_46,1,N6-p-M3,46,answer-P2,1,sausages,sausages,*,Invalid Filler,Datisi*,1,1,All chili dogs are sausages,Some sausages are salamis,Some salamis are chili dogs,NA,17903,Datisi,0,0,0,0
1_47,1,N6-p-M3,47,answer-P1,1,waist,hip,category,Related,Darii,1,1,All waists fit in pants,Some bones are hips,Some bones fit in pants,NA,14908,Darii,0,0,0,0
1_47,1,N6-p-M3,47,answer-P2,1,waist,hip,category,Related,Darii,1,1,All waists fit in pants,Some bones are hips,Some bones fit in pants,NA,14908,Darii,0,0,0,0
1_48,1,N6-p-M3,48,answer-P1,0,dolls,dolls,*,Valid Filler,Darii,1,1,All dolls are man made,Some toys are dolls ,Some toys are man made,NA,11349,Darii,1,0,0,0
1_48,1,N6-p-M3,48,answer-P2,1,dolls,dolls,*,Valid Filler,Darii,1,1,All dolls are man made,Some toys are dolls ,Some toys are man made,NA,11349,Darii,1,1,0,0
1_49,1,N6-p-M3,49,answer-P1,1,liars,liars,*,Valid Filler,Dimatis,1,1,Some criminals are liars ,All liars are humans,Some humans are criminals ,NA,14636,Dimatis,1,1,0,0
